Cell_ID	count.16S	count.12S	mito_counts	nCount_RNA	nFeature_RNA	dataset
SRR3329814	110862	14	9897	180672	840	SmartSeq2
SRR3329815	821787	4057	98045	1479570	2631	SmartSeq2
SRR3329816	328950	0	13855	767252	464	SmartSeq2
SRR3329817	121416	1168	17339	695074	1986	SmartSeq2
SRR3329818	278061	1322	22735	840076	1769	SmartSeq2
SRR3329819	91272	299	11073	423830	1543	SmartSeq2
SRR3329820	40893	412	5819	216105	721	SmartSeq2
SRR3329821	335292	3121	33613	809078	1629	SmartSeq2
SRR3329822	109086	126	10158	283164	1880	SmartSeq2
SRR3329823	463808	730	61383	967725	2026	SmartSeq2
SRR3329824	65580	286	11367	183340	1078	SmartSeq2
SRR3329825	136066	651	19928	353198	1561	SmartSeq2
SRR3329826	53350	662	7609	628219	2112	SmartSeq2
SRR3329827	77831	127	16081	228047	1821	SmartSeq2
SRR3329828	271663	479	21357	418527	740	SmartSeq2
SRR3329829	55826	311	6456	142359	1394	SmartSeq2
SRR3329830	407040	2344	46486	769069	1275	SmartSeq2
SRR3329831	689024	3392	47765	922651	1108	SmartSeq2
SRR3329832	404386	2075	36813	914319	2499	SmartSeq2
SRR3329833	251734	2930	27108	637294	2402	SmartSeq2
SRR3329834	231633	1428	25503	478593	1698	SmartSeq2
SRR3329835	309612	954	34576	804503	1776	SmartSeq2
SRR3329836	116617	562	20440	304400	1689	SmartSeq2
SRR3329837	11895	99	2831	152835	1612	SmartSeq2
SRR3329838	123027	689	9879	235162	2855	SmartSeq2
SRR3329839	323222	767	60323	719122	1896	SmartSeq2
SRR3329840	112286	232	14420	514428	2340	SmartSeq2
SRR3329841	149887	565	27688	317806	2096	SmartSeq2
SRR3329842	455053	1495	35832	747455	1937	SmartSeq2
SRR3329843	206816	1794	24816	526640	2413	SmartSeq2
SRR3329844	318125	723	40191	729571	1547	SmartSeq2
SRR3329845	291415	681	31062	619510	2801	SmartSeq2
SRR3329846	1483864	1659	156778	3114042	2825	SmartSeq2
SRR3329847	782852	2624	135352	1662815	2471	SmartSeq2
SRR3329848	678034	1717	63195	1661819	2520	SmartSeq2
SRR3329849	762733	1446	75303	1038215	2005	SmartSeq2
SRR3329850	35487	17	5392	295027	2224	SmartSeq2
SRR3329851	63549	2	8614	623493	2445	SmartSeq2
SRR3329852	1465077	684	87265	2395031	2013	SmartSeq2
SRR3329853	381327	646	33413	636067	2314	SmartSeq2
SRR3329854	35608	122	10198	567622	2881	SmartSeq2
SRR3329855	101894	230	13749	326141	2467	SmartSeq2
SRR3329856	171468	2	27642	1241611	2276	SmartSeq2
SRR3329857	45185	545	13333	331519	1684	SmartSeq2
SRR3329858	187549	407	25386	574948	2410	SmartSeq2
SRR3329859	763232	1372	37748	1383669	3429	SmartSeq2
SRR3329860	151148	576	12796	285378	2384	SmartSeq2
SRR3329861	548497	3651	58792	1077919	3456	SmartSeq2
SRR3329862	335697	299	22811	691218	2546	SmartSeq2
SRR3329863	711404	764	40629	1483668	3231	SmartSeq2
SRR3329864	297278	1154	37904	763028	1594	SmartSeq2
SRR3329865	720759	333	58279	1869144	3013	SmartSeq2
SRR3329866	84171	439	4535	566146	1877	SmartSeq2
SRR3329867	279299	931	36733	689001	2090	SmartSeq2
SRR3329868	55423	3	7821	512286	2287	SmartSeq2
SRR3329869	343088	411	29281	471120	1598	SmartSeq2
SRR3329870	1681246	618	96356	3589704	3234	SmartSeq2
