Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
0.58,767.98,756.82,796.76,800.21,830.52
1.00,677.15,772.36,676.04,896.59,797.00
2.00,586.32,665.62,555.31,844.81,763.48
2.42,450.78,558.88,414.93,793.02,627.01
2.84,315.24,422.16,274.55,642.01,490.53
3.26,224.09,285.45,193.28,491.01,359.89
3.68,132.94,200.65,112.01,357.52,229.25
4.10,99.25,115.85,86.20,224.03,163.22
4.52,65.57,86.64,60.40,161.10,97.19
4.94,58.76,57.42,56.33,98.16,78.67
5.36,51.95,51.95,52.25,82.22,60.16
5.79,50.57,46.48,51.45,66.28,57.05
6.21,49.19,45.42,50.66,64.04,53.94
6.63,47.34,44.36,48.27,61.81,50.84
7.05,45.48,42.84,45.88,60.18,48.02
7.47,38.47,41.31,41.08,58.54,45.20
7.89,33.75,35.60,36.27,55.06,40.81
8.31,29.04,31.89,25.09,51.57,36.42
8.73,24.67,28.19,20.92,41.19,31.52
9.15,20.29,24.90,16.75,36.00,26.62
9.57,16.90,21.60,14.10,30.82,22.45
9.99,13.51,18.90,11.46,27.08,18.28
10.41,10.81,16.20,9.18,23.34,14.96
10.83,8.11,13.41,6.91,20.48,11.64
11.25,6.03,10.62,4.91,17.61,8.91
11.67,3.94,7.95,2.92,14.68,6.19
12.09,2.56,5.28,1.80,11.74,4.18
12.52,1.17,3.51,0.68,9.10,2.17
12.94,0.59,1.73,0.34,6.45,1.09
13.36,0.00,0.87,0.00,4.69,0.00
13.78,0.24,0.00,0.02,2.93,0.00
14.20,0.48,0.00,0.04,1.92,0.00
14.62,1.06,0.00,0.02,0.92,0.65
15.04,1.64,0.00,0.00,0.46,1.29
15.46,1.94,0.00,0.02,0.00,1.89
15.88,2.25,0.00,0.05,0.00,2.49
16.30,2.03,0.00,0.27,0.00,2.52
16.72,1.81,0.38,0.48,0.39,2.55
17.14,1.28,0.77,0.49,0.77,2.25
17.56,0.76,2.07,0.50,0.97,1.95
17.98,0.50,3.38,0.27,1.17,1.99
18.40,0.24,6.22,0.05,0.87,2.57
18.82,0.58,9.05,0.02,0.57,3.14
19.24,0.93,13.89,0.00,0.29,3.82
19.67,1.45,18.73,0.13,0.00,4.49
20.09,1.97,23.97,0.26,0.08,4.74
20.51,1.86,29.21,0.13,0.17,4.99
20.93,1.12,33.15,0.00,1.72,4.72
21.35,0.38,29.72,0.00,3.27,4.45
21.77,0.19,26.29,0.00,5.21,3.70
22.19,0.00,19.35,1.19,7.14,2.95
22.61,1.65,12.40,2.39,7.45,1.84
23.03,3.30,6.20,9.06,7.76,0.72
23.45,7.43,0.00,12.68,5.91,0.36
23.87,11.56,0.00,16.31,4.07,0.00
24.29,15.16,0.00,17.23,0.00,1.98
24.71,18.76,5.60,18.15,0.00,3.97
25.13,18.73,11.20,15.68,0.00,9.10
25.55,18.69,21.97,13.21,4.13,14.23
25.97,15.27,32.74,9.68,8.26,20.12
26.39,11.85,41.78,6.16,16.07,26.01
26.82,7.93,50.82,3.82,23.88,28.92
27.24,4.01,53.09,1.49,29.17,31.83
27.66,2.01,55.36,0.74,34.47,30.59
28.08,0.00,53.71,0.00,32.18,29.35
28.50,0.84,52.06,0.83,29.89,23.81
28.92,1.68,53.57,1.66,22.01,22.68
29.34,4.21,55.08,3.14,14.13,21.54
29.76,6.74,62.05,4.63,7.07,22.77
30.18,9.08,69.03,5.93,0.00,23.99
30.60,11.41,76.13,7.24,0.83,26.11
31.02,12.10,83.24,8.17,1.66,28.22
31.44,12.79,84.80,9.11,5.14,29.50
31.86,12.70,86.36,10.60,8.63,30.77
32.28,12.60,85.71,12.10,12.15,31.46
32.70,15.87,85.07,15.25,15.66,32.16
33.12,20.97,93.21,18.39,20.49,35.09
33.55,26.07,101.36,23.32,25.31,38.03
33.97,34.10,147.88,28.24,36.97,46.14
34.39,42.14,178.96,33.45,48.62,54.26
34.81,49.99,210.03,38.66,71.66,66.81
35.23,57.84,231.68,41.96,94.70,79.37
35.65,61.52,253.34,45.26,124.46,90.42
36.07,65.19,252.48,45.96,154.21,101.47
36.49,63.75,251.63,46.66,174.65,104.48
36.91,62.31,231.83,46.14,195.08,107.49
37.33,58.97,212.04,45.62,193.02,102.35
37.75,55.64,189.47,45.16,190.96,97.22
38.17,54.01,166.91,45.95,172.51,90.01
38.59,52.38,154.69,46.73,154.06,82.81
39.01,53.52,142.48,48.91,121.29,74.92
39.43,54.67,143.10,51.09,117.75,75.59
39.85,57.84,143.73,54.49,114.21,76.27
40.27,61.02,151.27,57.90,121.45,80.19
40.70,64.78,158.81,61.77,128.70,84.12
41.12,68.55,164.75,65.63,139.50,88.86
41.54,71.91,170.69,70.30,150.30,93.60
41.96,75.26,172.10,74.96,158.61,97.35
42.38,79.72,173.51,82.79,166.92,101.11
42.80,84.19,177.73,90.62,172.68,105.63
43.22,93.44,181.96,103.87,178.44,110.16
43.64,102.69,198.57,117.12,189.09,119.77
44.06,118.16,215.19,135.13,199.75,129.37
44.48,133.64,244.12,153.14,223.37,145.72
44.90,152.33,273.04,172.40,246.99,162.07
45.32,171.02,304.02,191.65,282.81,181.53
45.74,207.65,335.01,208.47,318.64,200.98
46.16,224.90,357.35,225.28,355.49,217.52
46.58,242.15,379.69,238.26,392.35,234.05
47.00,258.96,400.26,251.25,417.77,244.46
47.42,275.77,402.20,261.84,443.18,254.86
47.85,291.23,404.13,272.44,454.59,261.40
48.27,306.69,402.68,282.27,465.99,267.95
48.69,316.90,401.22,292.09,471.29,274.90
49.11,327.10,395.67,299.17,476.59,281.86
49.53,325.49,390.11,306.25,482.70,288.22
49.95,323.87,374.35,305.51,488.82,294.57
50.37,306.96,358.59,304.77,491.95,291.50
50.79,290.04,331.17,293.24,495.09,277.73
51.21,263.53,303.74,281.70,485.78,263.97
51.63,237.03,273.19,262.56,476.46,242.94
52.05,212.01,242.63,243.41,452.19,221.91
52.47,186.98,219.21,206.05,427.92,202.35
52.89,171.03,195.80,194.70,396.67,182.78
53.31,155.08,182.55,183.35,365.41,169.52
53.73,149.49,169.31,180.05,338.55,156.26
54.15,143.90,162.86,176.75,311.69,149.32
54.58,145.83,156.41,178.33,280.13,142.39
55.00,147.75,153.50,179.91,274.60,139.68
55.42,153.21,150.60,184.42,269.08,136.96
55.84,158.68,153.70,188.93,269.54,137.01
56.26,165.74,156.81,196.52,270.01,137.07
