G1,10454879 	Wang	Ph0,,,,,,
Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,From (bp),To (bp)
1,1 (LM),,653.3386,0.5000,768,0,14
2,50,12.5,208.8605,5.9955,327,28,55
3,71,27.9,323.7483,13.4230,486,55,79
4,84,16.4,152.5220,7.8986,471,79,95
5,98,6.9,52.9127,3.3187,212,95,116
6,124,4.4,27.7625,2.0954,191,116,179
7,204,4.1,16.4951,1.9663,132,179,219
8,775,2.8,2.8838,1.3545,230,730,813
9,975,22.0,17.7435,10.5646,1914,864,1273
10,1382,1.1,0.6063,0.5134,61,1273,1698
11,2000,1.9,0.7768,0.9320,184,1698,2761
12,6000 (UM),,0.0819,0.2990,768,5108,8173
 , , ,,,,,
 ,TIC: ,48.0621,ng/uL,,,,
 ,TIM: ,804.3115,nmole/L,,,,
 ,Total Concentration: ,48.9010,ng/uL,,,,
 ,,,,,,,
G2,10454879 	Wang	Ph1,,,,,,
Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,From (bp),To (bp)
1,1 (LM),,653.3386,0.5000,772,0,14
2,36,9.3,155.6047,3.2381,253,23,39
3,48,23.3,278.5719,8.1658,404,39,55
4,60,9.3,90.8705,3.2708,274,55,63
5,71,22.0,180.5162,7.7037,363,63,79
6,83,10.5,70.8396,3.6686,235,79,95
7,98,4.8,26.9137,1.6717,147,95,114
8,122,3.7,17.1005,1.3011,129,114,171
9,189,4.9,14.3772,1.7052,121,181,219
10,447,1.9,2.4042,0.6502,106,424,460
11,773,1.3,0.9556,0.4506,55,722,811
12,975,9.0,5.3082,3.1638,576,895,1255
13,6000 (UM),,0.0913,0.3337,882,5541,7717
 , , ,,,,,
 ,TIC: ,34.9894,ng/uL,,,,
 ,TIM: ,843.4623,nmole/L,,,,
 ,Total Concentration: ,36.0098,ng/uL,,,,
 ,,,,,,,
G3,10454879 	Wang	Ph2,,,,,,
Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,From (bp),To (bp)
1,1 (LM),,653.3386,0.5000,797,0,14
2,50,11.7,198.5493,5.6995,306,28,55
3,71,36.0,421.0136,17.4557,691,55,79
4,84,24.4,225.7726,11.8292,716,79,96
5,99,5.5,43.2095,2.6839,179,96,115
6,123,2.0,12.4577,0.9781,61,115,182
7,771,1.8,1.8358,0.8578,166,735,803
8,965,12.7,10.5439,6.1819,1159,857,1083
9,1190,2.5,1.5684,1.2349,71,1083,1764
10,1961,3.3,1.3507,1.6131,346,1764,2732
11,6000 (UM),,0.0846,0.3066,874,5541,7154
 , , ,,,,,
 ,TIC: ,48.5339,ng/uL,,,,
 ,TIM: ,916.3015,nmole/L,,,,
 ,Total Concentration: ,49.3597,ng/uL,,,,
 ,,,,,,,
G4,10454879 	Wang	Ctrl,,,,,,
Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,From (bp),To (bp)
1,1 (LM),,364.2457,0.5000,897,0,15
2,37,3.4,66.7950,1.5117,195,30,40
3,51,19.1,280.8807,8.4041,495,40,55
4,72,41.7,435.9989,18.3418,793,55,79
5,84,33.8,260.1372,14.8938,645,79,167
6,968,2.0,1.4760,0.8708,201,898,1118
7,6000 (UM),,0.0816,0.2974,945,5514,7207
 , , ,,,,,
 ,TIC: ,44.0221,ng/uL,,,,
 ,TIM: ,1045.2878,nmole/L,,,,
 ,Total Concentration: ,45.0470,ng/uL,,,,
 ,,,,,,,
G5,10454879 	Wang	FoxA,,,,,,
Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,From (bp),To (bp)
1,1 (LM),,653.3386,0.5000,831,0,14
2,37,5.7,65.5092,1.3632,107,14,39
3,50,22.5,178.6398,5.3450,295,39,56
4,72,40.9,234.1163,9.7067,349,56,80
5,85,20.1,91.1663,4.7766,303,80,96
6,100,4.9,18.8217,1.1691,86,96,116
7,975,5.7,2.3132,1.3604,278,859,1037
8,6000 (UM),,0.0889,0.3255,946,5595,8683
 , , ,,,,,
 ,TIC: ,23.7210,ng/uL,,,,
 ,TIM: ,590.5665,nmole/L,,,,
 ,Total Concentration: ,25.9492,ng/uL,,,,
 ,,,,,,,
