Size (bp),A2,A3,A4,A5
0.58,1076.57,1178.69,1180.89,1049.18
1.00,1141.99,1106.60,1160.27,1159.11
2.00,1026.61,1034.50,1139.65,1106.92
2.42,911.24,840.18,944.28,1054.74
2.84,521.97,645.86,748.92,1002.55
3.26,376.52,302.18,349.23,809.10
3.68,231.07,217.53,246.90,615.65
4.10,168.34,132.88,144.58,449.53
4.52,105.62,109.39,116.67,283.42
4.94,91.06,85.90,88.77,203.98
5.36,76.50,83.58,84.24,124.55
5.79,76.20,81.26,79.70,110.74
6.21,75.54,80.44,75.46,96.94
6.63,74.87,79.62,71.21,83.13
7.05,70.06,69.87,63.92,81.81
7.47,65.26,62.08,56.64,80.50
7.89,58.05,54.28,41.35,79.87
8.31,50.84,46.71,35.62,79.25
8.73,43.75,39.14,29.89,74.67
9.15,36.66,33.43,26.24,70.09
9.57,25.38,27.72,22.58,65.15
9.99,21.93,24.00,20.48,60.22
10.41,18.47,20.29,18.37,55.29
10.83,17.21,16.63,17.47,47.50
11.25,15.96,16.29,16.57,39.71
11.67,16.02,15.95,16.42,33.27
12.09,16.09,16.13,16.26,26.83
12.52,16.77,16.32,15.99,24.00
12.94,16.84,16.18,15.29,21.18
13.36,16.92,16.04,14.59,18.36
13.78,16.55,15.38,13.66,16.23
14.20,16.19,14.72,12.72,14.10
14.62,15.60,12.83,12.66,13.32
15.04,15.01,12.00,12.59,12.54
15.46,15.62,11.17,14.03,12.34
15.88,17.80,11.00,15.47,12.14
16.30,19.99,10.83,17.98,11.93
16.72,22.80,11.59,20.48,11.71
17.14,25.62,12.35,24.96,11.50
17.56,26.54,13.66,25.27,10.65
17.98,27.45,14.98,25.59,9.79
18.40,25.75,17.23,23.68,9.34
18.82,24.04,17.49,21.77,8.88
19.24,18.45,17.76,19.56,9.89
19.67,16.26,17.00,17.36,10.90
20.09,14.07,16.25,16.85,11.90
20.51,13.01,15.14,16.35,15.21
20.93,11.95,14.03,17.51,18.51
21.35,11.54,13.57,18.67,21.49
21.77,11.14,13.11,21.62,24.47
22.19,10.40,14.53,22.30,25.08
22.61,10.01,16.10,22.99,25.70
23.03,9.62,17.66,22.73,24.52
23.45,9.39,18.95,22.48,23.34
23.87,9.16,20.24,22.07,22.16
24.29,9.02,20.49,21.66,19.88
24.71,8.89,20.74,22.23,17.60
25.13,8.85,20.65,22.80,16.50
25.55,8.81,20.55,25.10,15.41
25.97,9.48,22.20,27.40,15.37
26.39,10.52,24.46,34.66,15.33
26.82,11.56,26.71,38.03,15.22
27.24,13.42,29.79,41.40,15.12
27.66,15.28,32.86,44.54,15.01
28.08,18.19,35.72,47.68,14.33
28.50,21.11,38.59,56.02,13.65
28.92,32.90,43.44,64.37,13.16
29.34,45.17,48.28,86.07,12.68
29.76,57.43,78.78,107.76,12.95
30.18,76.04,112.49,177.86,13.22
30.60,94.64,146.21,215.15,13.49
31.02,114.12,193.16,252.45,15.14
31.44,133.61,240.11,284.38,16.79
31.86,168.64,285.82,316.32,19.92
32.28,188.42,331.52,347.33,23.04
32.70,208.20,373.35,378.34,27.08
33.12,230.57,415.18,409.70,31.11
33.55,252.95,506.76,441.05,33.37
33.97,266.89,548.33,459.66,35.63
34.39,280.84,589.90,478.27,37.89
34.81,274.98,601.31,460.17,39.73
35.23,269.12,612.72,421.15,41.56
35.65,217.84,578.19,382.13,43.63
36.07,182.53,543.67,325.05,45.69
36.49,147.23,473.27,267.97,51.42
36.91,115.00,402.88,212.75,57.14
37.33,82.77,245.35,157.54,62.86
37.75,61.76,184.54,120.03,86.95
38.17,40.76,123.74,82.52,111.04
38.59,21.47,90.28,64.85,151.44
39.01,18.51,56.82,47.18,191.84
39.43,15.55,43.56,35.58,234.11
39.85,15.00,30.30,33.77,276.38
40.27,14.44,26.41,31.97,297.17
40.70,14.29,22.51,30.85,317.95
41.12,14.13,20.34,29.73,338.73
41.54,13.82,19.49,28.47,366.50
41.96,13.50,18.64,27.20,394.28
42.38,12.86,17.46,25.52,432.46
42.80,12.78,16.28,23.84,470.64
43.22,12.71,15.03,22.22,512.51
43.64,12.56,13.78,20.60,554.39
44.06,12.41,12.78,18.81,568.34
44.48,11.75,11.77,18.39,582.29
44.90,11.09,10.16,17.96,596.23
45.32,9.14,9.27,17.25,576.15
45.74,8.13,8.38,16.53,556.06
46.16,7.12,7.48,15.47,496.06
46.58,6.09,6.57,14.40,436.05
47.00,5.06,6.21,13.61,385.33
47.42,4.38,5.85,12.82,334.61
47.85,3.70,6.27,12.28,283.90
48.27,3.95,6.68,11.75,221.18
48.69,4.20,7.75,9.99,158.47
49.11,6.15,7.58,9.15,122.16
49.53,6.94,7.42,8.31,85.85
49.95,7.73,6.64,8.35,70.22
50.37,7.77,5.86,8.39,54.59
50.79,7.81,5.20,8.93,50.87
51.21,7.45,4.55,9.47,47.16
51.63,7.09,3.91,9.75,43.45
52.05,6.78,3.54,10.03,41.57
52.47,6.85,3.16,10.21,39.68
52.89,6.92,2.80,10.40,38.90
53.31,6.86,2.43,11.41,38.11
53.73,6.81,2.52,11.86,37.34
54.15,6.46,2.60,12.31,36.58
54.58,6.12,3.01,11.98,35.81
55.00,5.26,3.42,11.66,33.37
55.42,5.18,3.68,10.62,30.94
55.84,5.10,3.46,9.58,27.56
56.26,5.56,3.23,8.60,24.17
56.68,6.02,3.19,7.62,21.42
57.10,6.50,3.14,6.44,18.66
57.52,6.98,3.43,5.91,17.97
57.94,6.68,3.72,5.39,17.29
58.36,6.38,3.78,4.83,16.60
58.78,4.44,3.85,4.27,16.47
59.20,3.82,2.88,3.95,16.35
59.62,3.19,2.26,3.64,15.48
60.04,3.36,1.63,3.62,14.62
60.46,3.52,1.35,3.60,12.71
60.88,3.85,1.07,3.68,10.81
61.30,4.18,1.17,3.75,9.49
61.73,4.21,1.28,3.98,8.17
62.15,4.07,1.62,4.19,6.85
62.57,3.94,1.96,4.39,5.35
62.99,3.85,3.00,4.52,3.84
63.41,3.77,3.37,4.65,2.68
63.83,3.90,3.75,4.61,1.51
64.25,4.03,3.59,4.57,1.02
64.67,4.55,3.44,4.70,0.52
65.09,5.06,3.00,4.83,0.03
65.51,6.31,2.57,5.10,0.01
65.93,6.48,2.43,5.37,0.00
66.35,6.66,2.30,4.82,0.52
66.77,6.19,2.82,3.98,1.05
67.19,5.73,3.22,3.14,1.68
67.61,4.98,3.62,2.68,2.31
68.03,4.23,4.00,2.23,2.40
68.45,2.79,4.38,2.82,2.50
68.88,2.21,4.64,3.41,2.59
69.30,1.62,4.89,4.65,2.57
69.72,1.37,4.96,5.88,2.56
70.14,1.12,5.03,6.57,2.85
70.56,1.29,4.86,7.25,3.15
70.98,1.46,4.62,6.09,3.18
71.40,1.79,4.39,4.95,3.22
71.82,2.12,4.24,3.82,3.26
72.24,2.89,4.10,3.18,2.62
72.66,3.41,4.27,2.53,1.99
73.08,3.93,4.44,2.37,1.41
73.50,4.29,4.54,2.21,0.83
73.92,4.65,4.65,1.94,0.92
74.34,4.44,3.84,1.66,1.01
74.76,4.23,3.27,1.20,1.02
75.18,3.09,2.70,0.75,1.03
75.61,2.81,2.37,0.16,1.05
76.03,2.54,2.04,0.08,0.73
76.45,2.98,1.71,0.00,0.41
76.87,3.41,1.37,0.00,0.74
77.29,4.43,0.86,0.00,1.07
